ΚΩΔ.,Ονομα,2002,2003,2004,2005,2006,2007,2008,2009,2010,20011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
146,ΘΕΑΤΡΙΚΩΝ ΣΠΟΥΔΩΝ (ΑΘΗΝΑ),12609.0,13491.0,12451.0,18870.0,12821.0,14068.0,14109.0,14039.0,,14127.0,14387.0,13363.0,13035.0,13472.0,13333.0,13509.0,13074.0,12602,11125,11128,10780,0
147,ΔΗΜΟΣΙΟΓΡΑΦΙΑΣ ΚΑΙ ΜΕΣΩΝ ΜΑΖΙΚΗΣ ΕΠΙΚΟΙΝΩΝΙΑΣ (ΘΕΣΣΑΛΟΝΙΚΗ),16187.0,15516.0,15181.0,19628.0,15766.0,16506.0,17108.0,17536.0,,17767.0,18102.0,16848.0,17020.0,16752.0,16569.0,16831.0,16799.0,15949,15415,14983,15950,16640
148,ΕΠΙΚΟΙΝΩΝΙΑΣ ΚΑΙ ΜΕΣΩΝ ΜΑΖΙΚΗΣ ΕΝΗΜΕΡΩΣΗΣ (ΑΘΗΝΑ),17311.0,17007.0,16815.0,20132.0,16775.0,17595.0,18295.0,18518.0,,18238.0,18414.0,17849.0,17989.0,17647.0,17349.0,17391.0,17426.0,16845,16470,16305,15950,16370
149,ΚΟΙΝΩΝΙΟΛΟΓΙΑΣ (ΡΕΘΥΜΝΟ),11822.0,12217.0,11666.0,15817.0,12177.0,13498.0,13276.0,13458.0,,12252.0,12006.0,11956.0,12804.0,12093.0,12742.0,13280.0,13085.0,12602,12375,11093,10110,10840
150,ΔΙΕΘΝΩΝ ΚΑΙ ΕΥΡΩΠΑΪΚΩΝ ΟΙΚΟΝΟΜΙΚΩΝ ΣΠΟΥΔΩΝ (ΑΘΗΝΑ),16805.0,17286.0,16984.0,18928.0,,17108.0,16810.0,16952.0,,15386.0,15717.0,13878.0,14578.0,14787.0,14247.0,13016.0,13159.0,13804,14100,14384,14780,15170
151,ΨΥΧΟΛΟΓΙΑΣ (ΡΕΘΥΜΝΟ),15218.0,15523.0,14315.0,17787.0,15669.0,16387.0,16905.0,16745.0,,16958.0,17626.0,17306.0,17811.0,17162.0,17121.0,17274.0,17341.0,16846,17075,17135,15905,16770
152,ΟΙΚΟΝΟΜΙΚΗΣ ΚΑΙ ΠΕΡΙΦΕΡΕΙΑΚΗΣ ΑΝΑΠΤΥΞΗΣ (ΑΘΗΝΑ),15576.0,,,17889.0,,16005.0,15619.0,15516.0,,13958.0,14429.0,12698.0,13223.0,13870.0,13157.0,12150.0,11897.0,11893,12700,11902,12550,12750
153,ΕΠΙΚΟΙΝΩΝΙΑΣ ΜΕΣΩΝ ΚΑΙ ΠΟΛΙΤΙΣΜΟΥ (ΑΘΗΝΑ),16421.0,15639.0,15333.0,19531.0,15463.0,16412.0,17218.0,17410.0,,17249.0,17182.0,16761.0,17107.0,16859.0,16570.0,16902.0,16719.0,16137,15490,14493,14480,14960
154,ΕΚΠΑΙΔΕΥΣΗΣ ΚΑΙ ΑΓΩΓΗΣ ΣΤΗΝ ΠΡΟΣΧΟΛΙΚΗ ΗΛΙΚΙΑ (ΑΘΗΝΑ),13125.0,14151.0,14180.0,18244.0,15336.0,16717.0,17442.0,17796.0,,16644.0,16816.0,15793.0,16313.0,15430.0,13320.0,14195.0,15340.0,15092,15350,15006,14675,15250
155,ΧΡΗΜΑΤΟΟΙΚΟΝΟΜΙΚΗΣ ΚΑΙ ΤΡΑΠΕΖΙΚΗΣ ΔΙΟΙΚΗΤΙΚΗΣ (ΠΕΙΡΑΙΑΣ),18050.0,18388.0,18162.0,18890.0,,17880.0,17645.0,17783.0,,16852.0,17018.0,15563.0,16269.0,16196.0,15458.0,14269.0,14082.0,14494,14325,14153,14350,14775
156,ΠΑΙΔΑΓΩΓΙΚΟ ΝΗΠΙΑΓΩΓΩΝ (ΙΩΑΝΝΙΝΑ),12167.0,13474.0,13456.0,17276.0,14351.0,15977.0,16648.0,17138.0,,14760.0,14325.0,13009.0,13126.0,13062.0,9331.0,10833.0,12840.0,12074,11375,11566,11645,12170
157,ΝΑΥΤΙΛΙΑΚΩΝ ΣΠΟΥΔΩΝ (ΠΕΙΡΑΙΑΣ),16616.0,,,18727.0,,16658.0,16803.0,17113.0,,16670.0,16475.0,15975.0,16350.0,16516.0,16086.0,15133.0,15493.0,15971,15970,15317,17040,17880
158,ΠΑΙΔΑΓΩΓΙΚΟ ΠΡΟΣΧΟΛΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ (ΡΕΘΥΜΝΟ),11947.0,13295.0,13114.0,17317.0,14169.0,15676.0,16327.0,16771.0,,14558.0,13604.0,12693.0,12827.0,12678.0,9179.0,10659.0,12495.0,11553,10600,10803,11360,11920
159,ΚΟΙΝΩΝΙΚΗΣ ΠΟΛΙΤΙΚΗΣ (ΑΘΗΝΑ),12521.0,12887.0,12326.0,17275.0,13045.0,14091.0,14423.0,14442.0,,13749.0,14245.0,13929.0,14133.0,14260.0,14538.0,14693.0,14553.0,13261,13575,12410,12060,12760
160,ΕΠΙΣΤΗΜΩΝ ΤΗΣ ΕΚΠΑΙΔΕΥΣΗΣ ΣΤΗΝ ΠΡΟΣΧΟΛΙΚΗ ΗΛΙΚΙΑ (ΑΛΕΞΑΝΔΡΟΥΠΟΛΗ),11749.0,13220.0,13013.0,17119.0,14030.0,15589.0,16386.0,16842.0,,14098.0,13163.0,12026.0,12523.0,12382.0,8667.0,10289.0,12275.0,11225,9925,10339,10325,10925
161,ΔΙΕΘΝΩΝ ΚΑΙ ΕΥΡΩΠΑΪΚΩΝ ΣΠΟΥΔΩΝ (ΘΕΣΣΑΛΟΝΙΚΗ),17454.0,,,19122.0,,16542.0,16149.0,16524.0,,15148.0,14974.0,13497.0,12841.0,14240.0,14066.0,12878.0,12738.0,16937,17635,17217,18275,18805
162,ΕΠΙΣΤΗΜΩΝ ΤΗΣ ΠΡΟΣΧΟΛΙΚΗΣ ΑΓΩΓΗΣ ΚΑΙ ΕΚΠΑΙΔΕΥΤΙΚΟΥ ΣΧΕΔΙΑΣΜΟΥ (ΡΟΔΟΣ),11475.0,12900.0,12733.0,16759.0,13715.0,15345.0,16063.0,16537.0,,13704.0,12385.0,11443.0,12165.0,11934.0,8368.0,10060.0,11932.0,10803,9250,9785,9850,10300
163,ΚΙΝΗΜΑΤΟΓΡΑΦΟΥ (ΘΕΣΣΑΛΟΝΙΚΗ),,,,19089.0,13755.0,14639.0,14809.0,14396.0,,14331.0,14686.0,13536.0,13429.0,13424.0,14890.0,14660.0,13847.0,13243,12750,12978,13350,13300
164,ΠΑΙΔΑΓΩΓΙΚΟ ΔΗΜΟΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ (ΒΟΛΟΣ),13710.0,15979.0,16414.0,18648.0,17274.0,17829.0,18447.0,18585.0,,16953.0,16137.0,14402.0,15121.0,14865.0,11966.0,13089.0,14647.0,14361,14300,14816,14325,15125
165,ΚΟΙΝΩΝΙΚΗΣ ΑΝΘΡΩΠΟΛΟΓΙΑΣ (ΑΘΗΝΑ),,,,17332.0,12748.0,13839.0,14128.0,14209.0,,13610.0,13976.0,14063.0,14668.0,14461.0,14805.0,15073.0,14867.0,13937,13800,13060,12460,13180
